Method     | F1score Precisi Recall  Accura  Specif  Sensit
=========================================================== 
## FASTTEXT ⇊⇊⇊
b1_1_10    | 0.7399  0.7496  0.7404  0.7475  0.7948  0.6861 
b1_1_15    | 0.7341  0.7445  0.7378  0.7395  0.7508  0.7248 
b1_1_20    | 0.7390  0.7475  0.7413  0.7435  0.7576  0.7249 
b1_1_25    | 0.7334  0.7443  0.7355  0.7406  0.7738  0.6971 
b1_1_30    | 0.7361  0.7478  0.7370  0.7446  0.7947  0.6794 
b2_1_10    | 0.7213  0.7347  0.7240  0.7294  0.7665  0.6814 
b2_1_15    | 0.7096  0.7294  0.7143  0.7215  0.7682  0.6604 
b2_1_20    | 0.7072  0.7227  0.7107  0.7194  0.7751  0.6464 
b2_1_25    | 0.7135  0.7332  0.7129  0.7265  0.8163  0.6095 
b2_1_30    | 0.7139  0.7210  0.7144  0.7225  0.7750  0.6538 
b3_1_10    | 0.7086  0.7110  0.7102  0.7135  0.7345  0.6860 
b3_1_15    | 0.7265  0.7315  0.7280  0.7326  0.7630  0.6931 
b3_1_20    | 0.7096  0.7295  0.7136  0.7214  0.7737  0.6536 
b3_1_25    | 0.7071  0.7253  0.7097  0.7186  0.7772  0.6422 
b3_1_30    | 0.7014  0.7111  0.7022  0.7095  0.7576  0.6468 
b4_1_10    | 0.7218  0.7380  0.7222  0.7335  0.8088  0.6355 
b4_1_15    | 0.7288  0.7581  0.7307  0.7445  0.8336  0.6279 
b4_1_20    | 0.7203  0.7298  0.7191  0.7295  0.7983  0.6399 
b4_1_25    | 0.7333  0.7480  0.7358  0.7406  0.7720  0.6995 
b4_1_30    | 0.7230  0.7395  0.7281  0.7304  0.7471  0.7091
b5_1_10    | 0.7571  0.7653  0.7551  0.7655  0.8335  0.6767 
b5_1_15    | 0.7345  0.7475  0.7357  0.7445  0.8020  0.6694 
b5_1_20    | 0.7476  0.7559  0.7479  0.7556  0.8051  0.6906 
b5_1_25    | 0.7449  0.7565  0.7448  0.7535  0.8104  0.6792 
b5_1_30    | 0.7571  0.7651  0.7618  0.7605  0.7522  0.7714 
b6_1_10    | 0.7680  0.7776  0.7700  0.7734  0.7963  0.7437 
b6_1_15    | 0.7374  0.7512  0.7373  0.7474  0.8143  0.6603 
b6_1_20    | 0.7586  0.7655  0.7608  0.7634  0.7804  0.7413 
b6_1_25    | 0.7515  0.7595  0.7549  0.7566  0.7664  0.7434 
b6_1_30    | 0.7458  0.7615  0.7443  0.7556  0.8283  0.6604 
## GLOVE ⇊⇊⇊
b1_2_10    | 0.7166  0.7359  0.7167  0.7305  0.8192  0.6141 
b1_2_15    | 0.6979  0.7128  0.6982  0.7105  0.7893  0.6070 
b1_2_20    | 0.7387  0.7559  0.7376  0.7495  0.8265  0.6487 
b1_2_25    | 0.7080  0.7186  0.7088  0.7164  0.7642  0.6535 
b1_2_30    | 0.7144  0.7298  0.7156  0.7254  0.7891  0.6421 
b2_2_10    | 0.6879  0.7153  0.6900  0.7034  0.7915  0.5886 
b2_2_15    | 0.6953  0.7143  0.7001  0.7084  0.7607  0.6395 
b2_2_20    | 0.6926  0.7067  0.6950  0.7045  0.7682  0.6218 
b2_2_25    | 0.6885  0.7085  0.6923  0.7015  0.7606  0.6239 
b2_2_30    | 0.6801  0.7015  0.6842  0.6933  0.7521  0.6163 
b3_2_10    | 0.6902  0.7039  0.6908  0.7035  0.7873  0.5942 
b3_2_15    | 0.6934  0.7066  0.6982  0.7016  0.7243  0.6720 
b3_2_20    | 0.6930  0.7019  0.6943  0.7015  0.7489  0.6396 
b3_2_25    | 0.6931  0.7147  0.6990  0.7046  0.7420  0.6560 
b3_2_30    | 0.7055  0.7152  0.7090  0.7126  0.7383  0.6797 
b4_2_10    | 0.7183  0.7346  0.7189  0.7315  0.8123  0.6255 
b4_2_15    | 0.6936  0.7191  0.6982  0.7083  0.7735  0.6228 
b4_2_20    | 0.7236  0.7296  0.7264  0.7294  0.7487  0.7041 
b4_2_25    | 0.7095  0.7174  0.7129  0.7154  0.7308  0.6950 
b4_2_30    | 0.7064  0.7197  0.7082  0.7175  0.7785  0.6378 
b5_2_10    | 0.7468  0.7535  0.7479  0.7524  0.7824  0.7133 
b5_2_15    | 0.7228  0.7399  0.7233  0.7333  0.7999  0.6467 
b5_2_20    | 0.7337  0.7421  0.7398  0.7383  0.7293  0.7503 
b5_2_25    | 0.7336  0.7481  0.7356  0.7412  0.7785  0.6928 
b5_2_30    | 0.7422  0.7493  0.7425  0.7484  0.7875  0.6974 
b6_2_10    | 0.7362  0.7422  0.7377  0.7424  0.7752  0.7002 
b6_2_15    | 0.7350  0.7430  0.7376  0.7415  0.7666  0.7085 
b6_2_20    | 0.7512  0.7541  0.7546  0.7545  0.7539  0.7552 
b6_2_25    | 0.7382  0.7470  0.7433  0.7424  0.7362  0.7503 
b6_2_30    | 0.7250  0.7380  0.7279  0.7333  0.7700  0.6859 
## FASTTEXT + GLOVE ⇊⇊⇊
b1_3_10    | 0.7400  0.7460  0.7399  0.7475  0.7981  0.6817 
b1_3_15    | 0.7417  0.7465  0.7421  0.7475  0.7841  0.7001 
b1_3_20    | 0.7401  0.7530  0.7410  0.7484  0.7960  0.6860 
b1_3_25    | 0.7411  0.7534  0.7451  0.7464  0.7555  0.7348 
b1_3_30    | 0.7441  0.7492  0.7435  0.7515  0.8035  0.6836 
b2_3_10    | 0.6931  0.7121  0.6923  0.7094  0.8211  0.5635 
b2_3_15    | 0.7004  0.7150  0.7012  0.7124  0.7857  0.6167 
b2_3_20    | 0.6870  0.7241  0.6927  0.7093  0.8177  0.5677 
b2_3_25    | 0.7125  0.7374  0.7182  0.7243  0.7642  0.6723 
b2_3_30    | 0.7046  0.7300  0.7087  0.7213  0.8032  0.6142 
b3_3_10    | 0.7285  0.7337  0.7297  0.7343  0.7644  0.6950 
b3_3_15    | 0.7063  0.7173  0.7071  0.7153  0.7680  0.6462 
b3_3_20    | 0.7140  0.7318  0.7152  0.7253  0.7927  0.6376 
b3_3_25    | 0.7098  0.7121  0.7109  0.7154  0.7450  0.6768 
b3_3_30    | 0.7099  0.7168  0.7097  0.7184  0.7770  0.6423 
b4_3_10    | 0.7408  0.7485  0.7444  0.7465  0.7607  0.7282 
b4_3_15    | 0.7181  0.7273  0.7199  0.7265  0.7702  0.6696 
b4_3_20    | 0.7363  0.7419  0.7378  0.7415  0.7643  0.7113 
b4_3_25    | 0.7304  0.7424  0.7289  0.7413  0.8229  0.6348 
b4_3_30    | 0.7367  0.7488  0.7391  0.7432  0.7695  0.7087 
b5_3_10    | 0.7661  0.7706  0.7687  0.7705  0.7823  0.7551 
b5_3_15    | 0.7649  0.7681  0.7657  0.7694  0.7927  0.7388 
b5_3_20    | 0.7600  0.7660  0.7645  0.7645  0.7645  0.7645 
b5_3_25    | 0.7685  0.7799  0.7710  0.7745  0.7966  0.7455 
b5_3_30    | 0.7652  0.7687  0.7667  0.7694  0.7876  0.7458 
b6_3_10    | 0.7598  0.7647  0.7612  0.7646  0.7880  0.7343 
b6_3_15    | 0.7536  0.7597  0.7563  0.7587  0.7755  0.7372 
b6_3_20    | 0.7529  0.7680  0.7582  0.7586  0.7609  0.7554 
b6_3_25    | 0.7631  0.7722  0.7618  0.7705  0.8283  0.6954 
b6_3_30    | 0.7578  0.7632  0.7587  0.7636  0.7963  0.7210 
